freq,Vin,Vout,dt
100, 200, 200, -100e-6
200, 202, 200, -30e-6
500, 202, 200, -12e-6
1000, 204, 200, -8e-6
2000, 204, 200, -11e-6
5000, 204, 194, -8e-6
10000, 204, 172, -8.9e-6
15950, 204, 142, -8.3e-6
20000, 204, 126, -7.3e-6
50000, 204, 62.4, -4e-6
100000, 204, 33.6, 2.2e-6
