freq,Vin,Vout,dt
100, 200, 200, -100e-6
200, 202, 200, -30e-6
500, 202, 200, -12e-6
1e3, 204, 200, -8e-6
2e3, 204, 200, -11e-6
5e3, 204, 194, -8e-6
8e3, 2.04, 1.76, -10e-6
10e3, 204, 172, -8.9e-6
15950, 204, 142, -8.3e-6
20e3, 204, 126, -7.3e-6
30e3, 2.04, 888e-3, -6.100e-6
50e3, 204, 62.4, -4e-6
80e3, 2.02, 368e-3, -2.760e-6
100e3, 204, 33.6, -2.2e-6
200e3, 206, 18.8, -1.220e-6
500e3, 206, 6.48, -530e-9
800e3, 2.00, 39.2e-3, -316e-9
1e6, 2.04, 31.2e-3, -264e-9 
